yaw_delta,pitch_delta,target_yaw,target_pitch,since_attack,distance,on_ground,delta_x,delta_y,delta_z,target_velocity_x,target_velocity_y,target_velocity_z,player_velocity_x,player_velocity_y,player_velocity_z,yaw,pitch
-34.843433,-73.916969,-36.033054,-12.489594,0.576000,0.912612,0.000000,0.524141,0.197364,0.720544,-0.019750,-0.373875,0.061875,-0.151243,0.333200,-0.104589,-1.189622,61.427376
-3.565262,-45.870621,-38.722378,16.392027,0.672000,1.232123,0.000000,0.739423,-0.347716,0.922211,0.063125,0.419875,-0.155375,-0.155463,0.248136,-0.094806,-35.157116,62.262646
10.522713,-38.282021,-40.690113,22.402895,0.768000,1.550794,0.000000,0.934757,-0.591040,1.087136,0.063125,0.419875,-0.155375,-0.156053,0.164773,-0.076004,-51.212826,60.684914
17.423576,-32.079350,-42.513180,24.243599,0.864000,1.828955,0.000000,1.126935,-0.751000,1.229266,0.063125,0.419875,-0.155375,-0.153180,0.083078,-0.055261,-59.936756,56.322948
15.872902,-31.423960,-47.590549,19.330523,0.960000,1.929540,0.000000,1.344350,-0.638707,1.227966,0.063125,0.419875,-0.155375,-0.148328,0.003016,-0.034851,-63.463451,50.754482
1.122559,-31.041870,-51.668011,12.752030,1.000000,2.022128,0.000000,1.547095,-0.446353,1.223220,0.063125,0.419875,-0.155375,-0.134978,-0.075444,-0.031714,-52.790569,43.793900
-12.297829,-30.876780,-55.900429,6.049345,1.000000,2.117805,0.000000,1.743913,-0.223185,1.180700,0.063125,0.419875,-0.155375,-0.122830,-0.152335,-0.028860,-43.602600,36.926125
-14.056606,-24.508354,-59.515362,-1.967383,0.096000,2.239265,0.000000,1.928584,0.076875,1.135326,0.063125,0.419875,-0.155375,-0.111775,-0.227688,-0.026263,-45.458755,22.540970
-2.678070,-20.279171,-62.614811,-7.947021,0.192000,2.384773,0.000000,2.097187,0.329716,1.086388,0.063125,0.419875,-0.155375,-0.101716,-0.301535,-0.023899,-59.936741,12.332150
9.050133,-23.444092,-64.900490,-14.824246,0.288000,2.565501,0.000000,2.245913,0.656404,1.052050,0.063125,0.419875,-0.155375,-0.083627,-0.373904,-0.037184,-73.950623,8.619845
5.089279,-29.032547,-65.984383,-19.484623,0.384000,2.734130,0.000000,2.354420,0.911983,1.049028,0.063125,0.419875,-0.155375,-0.060176,-0.444826,-0.042648,-71.073662,9.547923
1.691498,-33.317455,-66.598038,-19.036339,0.480000,2.805162,1.000000,2.433624,0.914956,1.053217,0.063125,0.419875,-0.155375,-0.033509,-0.078400,-0.049210,-68.289536,14.281116
3.222729,-23.433464,-61.725857,-5.625654,0.576000,2.349666,0.000000,2.059362,0.230335,1.107656,0.063125,0.419875,-0.155375,0.208327,0.333200,-0.040359,-64.948586,17.807810
2.301750,-14.361612,-58.192093,9.664316,0.672000,2.189037,0.000000,1.833887,-0.367486,1.137408,-0.183875,0.419875,-0.069375,0.211817,0.248136,-0.044799,-60.493843,24.025928
5.104305,-13.784081,-49.635456,17.759270,0.768000,1.980923,0.000000,1.437418,-0.604219,1.221804,-0.183875,0.419875,-0.069375,0.215553,0.164773,-0.047088,-54.739761,31.543350
3.118980,-17.131315,-38.442089,24.435274,0.864000,1.831409,0.000000,1.036643,-0.757590,1.305943,-0.183875,0.419875,-0.069375,0.219471,0.083078,-0.046854,-41.561069,41.566589
3.333149,-23.592602,-21.708183,22.985607,0.960000,1.646866,0.000000,0.560775,-0.643101,1.408588,-0.183875,0.419875,-0.069375,0.223335,0.003016,-0.041216,-25.041332,46.578209
-2.530929,-30.057308,-3.906387,16.892132,1.000000,1.581266,0.000000,0.103081,-0.459474,1.509523,-0.183875,0.419875,-0.069375,0.203235,-0.075444,-0.037507,-1.375458,46.949440
-4.470583,-28.226425,11.601746,8.050132,1.000000,1.656199,0.000000,-0.329798,-0.231932,1.606374,-0.183875,0.419875,-0.069375,0.184943,-0.152335,-0.034131,16.072329,36.276558
3.122135,-24.778452,23.649231,-2.237391,0.096000,1.857109,0.000000,-0.744386,0.072501,1.699849,-0.183875,0.419875,-0.069375,0.168299,-0.227688,-0.031059,20.527096,22.541061
5.108629,-23.011452,32.039459,-8.823074,0.192000,2.130606,0.000000,-1.116918,0.326801,1.784707,-0.183875,0.419875,-0.069375,0.153152,-0.301535,-0.028264,26.930830,14.188376
-3.410397,-26.906748,37.998413,-14.203292,0.288000,2.426188,0.000000,-1.448003,0.595295,1.853456,-0.183875,0.419875,-0.069375,0.122066,-0.373904,-0.020074,41.408810,12.703456
-8.184204,-37.602264,42.319763,-18.680696,0.384000,2.720139,0.000000,-1.734907,0.871244,1.905306,-0.078625,-0.301500,-0.029625,0.087466,-0.444826,-0.016785,50.503967,18.921568
-4.217178,-38.229027,45.544327,-16.616035,0.480000,2.891109,1.000000,-1.977477,0.826733,1.940260,-0.078625,-0.301500,-0.029625,0.056043,-0.078400,-0.017542,49.761505,21.612993
0.154190,-30.297197,43.604767,-4.229431,0.576000,2.653426,0.000000,-1.825039,0.195690,1.916144,-0.078625,-0.301500,-0.029625,-0.188566,0.333200,0.049667,43.450577,26.067766
3.002140,-21.618837,43.018829,7.511585,0.672000,2.666229,0.000000,-1.803403,-0.348553,1.932620,0.144750,0.419875,-0.099750,-0.195247,0.248136,0.045839,40.016689,29.130423
4.284462,-17.510532,41.980957,13.197623,0.768000,2.591167,0.000000,-1.687415,-0.591598,1.875310,0.144750,0.419875,-0.099750,-0.201245,0.164773,0.043770,37.696495,30.708155
7.289597,-15.182306,40.716934,17.382002,0.864000,2.514793,0.000000,-1.565542,-0.751279,1.819022,0.144750,0.419875,-0.099750,-0.206601,0.083078,0.042840,33.427338,32.564308
10.894119,-18.516001,38.752991,16.646925,0.960000,2.230202,0.000000,-1.337517,-0.638893,1.666333,0.144750,0.419875,-0.099750,-0.211185,0.003016,0.043731,27.858871,35.162926
14.012157,-24.395851,36.673798,13.272883,1.000000,1.944557,0.000000,-1.130379,-0.446446,1.517969,0.144750,0.419875,-0.099750,-0.192179,-0.075444,0.039795,22.661640,37.668736
10.228043,-29.607437,34.096184,7.875683,1.000000,1.629244,0.000000,-0.904719,-0.223247,1.336444,0.144750,0.419875,-0.099750,-0.174883,-0.152335,0.036214,23.868141,37.483120
1.201550,-32.848377,31.009384,-3.253917,0.096000,1.353860,0.000000,-0.696354,0.076844,1.158500,0.144750,0.419875,-0.099750,0.170000,-0.075375,-0.188000,29.807835,29.594461
3.670906,-28.883720,34.314011,-6.899494,0.192000,1.476620,0.000000,-0.826385,0.177382,1.210797,0.144750,0.419875,-0.099750,0.154700,-0.152268,-0.171080,30.643105,21.984226
7.625229,-32.125389,36.597794,-12.925396,0.288000,1.586225,0.000000,-0.921741,0.354813,1.241213,0.144750,0.419875,-0.099750,0.123146,-0.227622,-0.151169,28.972565,19.199993
17.156525,-42.187180,37.590797,-16.119432,0.384000,1.671634,0.000000,-0.979638,0.464114,1.272504,0.031750,-0.301500,-0.007250,0.089322,-0.301470,-0.131031,20.434273,26.067749
37.394981,-58.333485,37.690056,-19.736721,0.480000,1.735855,0.000000,-0.998943,0.586198,1.292933,0.031750,-0.301500,-0.007250,0.059766,-0.373840,-0.109400,0.295073,38.596764
48.020306,-65.793121,37.735336,-22.555973,0.576000,1.758412,1.000000,-0.993860,0.674503,1.284251,0.031750,-0.301500,-0.007250,0.037572,-0.078400,-0.082909,-10.284968,43.237152
45.266823,-51.855114,43.705750,-3.884765,0.672000,1.390434,0.000000,-0.958519,0.094203,1.002832,0.014375,0.419875,-0.003250,-0.037606,0.333200,0.174195,-1.561074,47.970348
19.623892,-39.125954,42.656769,10.886166,0.768000,1.431884,0.000000,-0.952792,-0.270424,1.034094,0.014375,0.419875,-0.003250,-0.057399,0.248136,0.159148,23.032877,50.012119
-0.577003,-29.691183,40.646149,20.970591,0.864000,1.536739,0.000000,-0.934705,-0.549987,1.088764,0.014375,0.419875,-0.003250,-0.068647,0.164773,0.137846,41.223152,50.661774
-8.946602,-30.804358,36.360092,20.228647,0.960000,1.537060,0.000000,-0.855051,-0.531470,1.161457,0.014375,0.419875,-0.003250,-0.075885,0.083078,0.113687,45.306694,51.033005
-9.623711,-34.834431,31.413826,16.291382,1.000000,1.537342,0.000000,-0.769115,-0.431257,1.259325,0.014375,0.419875,-0.003250,-0.081601,0.003016,0.090777,41.037537,51.125813
-5.952122,-40.112621,25.804642,10.920383,1.000000,1.533804,0.000000,-0.655583,-0.290575,1.355851,0.014375,0.419875,-0.003250,-0.087711,-0.075444,0.070898,31.756763,51.033005
-12.900532,-43.869762,19.969925,2.615660,1.000000,1.565360,0.000000,-0.534060,-0.071434,1.469704,0.014375,0.419875,-0.003250,-0.094983,-0.152335,0.055130,32.870457,46.485424
-12.695440,-36.453835,14.977798,-3.703943,0.096000,1.620987,0.000000,-0.418062,0.104712,1.562645,0.014375,0.419875,-0.003250,-0.086434,-0.227688,0.050168,27.673239,32.749889
-4.734866,-36.025650,10.594986,-11.906858,0.192000,1.726495,0.000000,-0.310613,0.356211,1.660547,0.014375,0.419875,-0.003250,-0.078655,-0.301535,0.045653,15.329852,24.118790
-7.347644,-40.659462,6.868515,-17.283133,0.288000,1.814155,0.000000,-0.207159,0.538974,1.719811,0.014375,0.419875,-0.003250,-0.076290,-0.373904,0.058746,14.216159,23.376328
-11.193011,-46.653915,3.023148,-22.627932,0.384000,1.905648,0.000000,-0.092768,0.733192,1.756507,0.005500,-0.373875,0.000000,-0.089749,-0.444826,0.065570,14.216159,24.025982
-13.749312,-48.275608,-0.925270,-19.052391,0.480000,1.868761,1.000000,0.028525,0.610024,1.766161,0.005500,-0.373875,0.000000,-0.101997,-0.078400,0.071780,12.824042,29.223217
-25.613306,-29.382736,-15.202263,2.067868,0.576000,1.508716,0.000000,0.395370,-0.054441,1.454972,0.005500,-0.373875,0.000000,-0.195270,0.333200,0.218248,10.411043,31.450603
-16.934877,-10.685123,-25.363731,23.549713,0.672000,1.582059,0.000000,0.621252,-0.632106,1.310496,0.005500,-0.373875,0.000000,-0.197173,0.248136,0.212038,-8.428854,34.234837
-5.548145,-4.898342,-37.735680,32.863190,0.768000,1.622165,0.000000,0.833917,-0.880242,1.077578,0.057625,0.419875,-0.191500,-0.193525,0.164773,0.211955,-32.187534,37.761532
